Ep_number: 1, Ep_Reward: -2080.0, Ep_tot_steps: 200, T_overlap: 9, T_nonbonded: 199, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (2, 2), Initial Ene:  8.8811, GM_ene:  8.9244, atom select: 0, atom_shift: 2.0 
 Ep_number: 2, Ep_Reward: -2040.0, Ep_tot_steps: 200, T_overlap: 4, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (3, 3), Initial Ene:  8.8811, GM_ene:  8.9244, atom select: 0, atom_shift: -2.0 
 Ep_number: 3, Ep_Reward: -2120.0, Ep_tot_steps: 200, T_overlap: 12, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (4, 4), Initial Ene:  8.8811, GM_ene:  8.1273, atom select: 2, atom_shift: -2.0 
 Ep_number: 4, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (5, 5), Initial Ene:  8.8811, GM_ene:  8.1273, atom select: 10, atom_shift: 2.0 
 Ep_number: 5, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 4, T_nonbonded: 192, T_tot_all_min: 8, T_similar_min: 5, T_lower_ene_min: 0, T_higher_ene_min: 3, T_high_low_min: 3, T_unique_min: (9, 9), Initial Ene:  8.8811, GM_ene:  8.1273, atom select: 9, atom_shift: -2.0 
 Ep_number: 6, Ep_Reward: -2070.0, Ep_tot_steps: 200, T_overlap: 7, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (10, 10), Initial Ene:  8.8811, GM_ene:  8.1273, atom select: 5, atom_shift: 2.0 
 Ep_number: 7, Ep_Reward: -2080.0, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (11, 11), Initial Ene:  8.8811, GM_ene:  8.1273, atom select: 1, atom_shift: -2.0 
 Ep_number: 8, Ep_Reward: -2040.0, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 2, T_high_low_min: 2, T_unique_min: (14, 14), Initial Ene:  8.8811, GM_ene:  8.1273, atom select: 5, atom_shift: -2.0 
 Ep_number: 9, Ep_Reward: -2030.0, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 194, T_tot_all_min: 6, T_similar_min: 3, T_lower_ene_min: 0, T_higher_ene_min: 3, T_high_low_min: 3, T_unique_min: (18, 18), Initial Ene:  8.8811, GM_ene:  8.1273, atom select: 7, atom_shift: -2.0 
 Ep_number: 10, Ep_Reward: -1140.3, Ep_tot_steps: 200, T_overlap: 0, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 1, T_high_low_min: 2, T_unique_min: (21, 21), Initial Ene:  8.8811, GM_ene:  8.0414, atom select: 1, atom_shift: -2.0 
 Ep_number: 11, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 2, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (22, 22), Initial Ene:  8.8811, GM_ene:  8.0414, atom select: 0, atom_shift: -2.0 
 Ep_number: 12, Ep_Reward: -1108.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (24, 24), Initial Ene:  8.8811, GM_ene:  7.9892, atom select: 2, atom_shift: 2.0 
 Ep_number: 13, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 3, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9892, atom select: 0, atom_shift: 2.0 
 Ep_number: 14, Ep_Reward: -1679.0, Ep_tot_steps: 200, T_overlap: 22, T_nonbonded: 193, T_tot_all_min: 7, T_similar_min: 6, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9892, atom select: 11, atom_shift: -2.0 
 Ep_number: 15, Ep_Reward: -1980.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 197, T_tot_all_min: 3, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 3, T_high_low_min: 3, T_unique_min: (29, 25), Initial Ene:  8.8811, GM_ene:  7.9892, atom select: 6, atom_shift: 2.0 
 Ep_number: 16, Ep_Reward: -1104.1, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 5, atom_shift: 2.0 
 Ep_number: 17, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 3, T_nonbonded: 197, T_tot_all_min: 3, T_similar_min: 2, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: -2.0 
 Ep_number: 18, Ep_Reward: -2050.0, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 5, atom_shift: -2.0 
 Ep_number: 19, Ep_Reward: -2170.0, Ep_tot_steps: 200, T_overlap: 17, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 20, Ep_Reward: -1927.7, Ep_tot_steps: 200, T_overlap: 2, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 21, Ep_Reward: -2050.0, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 22, Ep_Reward: -2014.7, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 1, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
